               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063485,            0.060917,            0.035316,             0.68457,             0.70326,             0.78285,             0.20502,            0.060779,            0.036812,            0.026415,           0.0097011,           0.0097011,           0.0097011
                  37,            0.066476,              0.0561,            0.033015,             0.67764,             0.76554,             0.79469,             0.23381,            0.064475,            0.037945,            0.025214,            0.009684,            0.009684,            0.009684
                  38,            0.071996,            0.061821,            0.033234,             0.68033,             0.74637,             0.77251,             0.25593,            0.054146,            0.039229,             0.02694,           0.0096664,           0.0096664,           0.0096664
                  39,            0.063173,            0.061082,            0.033629,             0.57754,             0.77405,              0.7397,             0.25289,            0.059042,            0.038666,            0.030253,           0.0096484,           0.0096484,           0.0096484
                  40,            0.063781,            0.055111,            0.031717,             0.55105,             0.77275,             0.75214,             0.26589,            0.058317,             0.03859,            0.027512,           0.0096299,           0.0096299,           0.0096299
                  41,            0.060417,            0.058728,            0.031246,             0.81341,             0.79894,             0.86294,             0.34563,            0.050674,            0.034943,            0.023303,            0.009611,            0.009611,            0.009611
                  42,            0.063112,            0.059431,             0.03156,             0.63669,             0.77509,             0.78408,             0.34243,            0.051684,            0.034726,            0.022636,           0.0095916,           0.0095916,           0.0095916
                  43,             0.06395,            0.060074,            0.029669,             0.81319,             0.79213,             0.84406,             0.31109,            0.051651,             0.03576,            0.021591,           0.0095717,           0.0095717,           0.0095717
                  44,            0.061644,            0.058176,            0.028946,             0.80408,             0.88284,             0.91721,              0.5103,            0.046147,            0.034529,             0.02033,           0.0095514,           0.0095514,           0.0095514
                  45,             0.05859,            0.058146,            0.027641,             0.88006,              0.8736,             0.92839,             0.54853,            0.047489,            0.034263,            0.019827,           0.0095307,           0.0095307,           0.0095307
                  46,            0.061755,            0.060129,            0.029963,             0.69738,              0.8273,             0.82834,             0.43347,            0.047373,            0.034096,            0.023006,           0.0095095,           0.0095095,           0.0095095
                  47,            0.062864,            0.056156,            0.028835,             0.70595,             0.84151,              0.8741,             0.35277,             0.05039,             0.03525,            0.021035,           0.0094879,           0.0094879,           0.0094879
                  48,            0.057634,            0.056929,            0.028115,             0.84121,             0.87723,             0.91938,             0.49304,            0.045901,            0.034058,            0.020851,           0.0094659,           0.0094659,           0.0094659
                  49,            0.055667,            0.055145,            0.027106,              0.8521,             0.84055,             0.91211,             0.53596,            0.046943,            0.033436,            0.019561,           0.0094434,           0.0094434,           0.0094434
                  50,            0.061179,            0.058454,            0.028745,             0.66227,             0.70385,             0.74606,              0.3551,            0.052739,            0.035558,            0.021896,           0.0094205,           0.0094205,           0.0094205
                  51,            0.058616,            0.056452,            0.026346,             0.67585,             0.78785,             0.83034,             0.38565,            0.046823,            0.034514,            0.019103,           0.0093971,           0.0093971,           0.0093971
                  52,            0.058519,            0.060383,            0.025632,             0.80734,             0.75658,             0.84585,             0.45913,            0.048235,            0.034257,            0.018866,           0.0093733,           0.0093733,           0.0093733
                  53,            0.062052,            0.061174,            0.025187,             0.86367,             0.84324,              0.9064,             0.39972,            0.057742,            0.037926,            0.018749,           0.0093491,           0.0093491,           0.0093491
                  54,             0.06759,            0.059178,             0.02529,             0.83946,             0.83414,             0.87475,             0.34826,            0.049557,            0.035635,            0.018566,           0.0093245,           0.0093245,           0.0093245
                  55,            0.060206,            0.063251,            0.025807,             0.90212,             0.87355,             0.93442,             0.53658,            0.046004,            0.033518,            0.019752,           0.0092995,           0.0092995,           0.0092995
                  56,            0.056919,            0.054188,             0.02388,             0.72367,             0.77697,             0.84903,             0.49464,            0.047031,            0.032857,            0.027648,            0.009274,            0.009274,            0.009274
                  57,            0.055337,            0.058705,            0.023927,             0.67488,             0.72493,             0.79208,             0.47269,            0.050865,            0.035673,            0.022692,           0.0092481,           0.0092481,           0.0092481
                  58,            0.061113,            0.059742,            0.023827,              0.8211,             0.76325,             0.84254,             0.44314,            0.052094,            0.035302,              0.0188,           0.0092219,           0.0092219,           0.0092219
                  59,             0.05747,            0.060374,              0.0252,             0.84764,             0.84699,             0.88278,             0.53204,            0.049009,            0.035681,            0.018126,           0.0091952,           0.0091952,           0.0091952
                  60,            0.055056,             0.05903,            0.023381,             0.85021,             0.85485,             0.88499,             0.44335,            0.050742,            0.035999,            0.017673,           0.0091681,           0.0091681,           0.0091681
                  61,            0.052831,             0.05647,             0.02341,             0.86854,              0.8064,              0.8798,             0.57383,            0.043659,            0.034025,            0.017991,           0.0091406,           0.0091406,           0.0091406
                  62,            0.057342,            0.062437,            0.023634,             0.79849,             0.88603,             0.90473,             0.51844,            0.043579,            0.034023,            0.016044,           0.0091127,           0.0091127,           0.0091127
                  63,            0.053284,            0.057719,            0.024175,             0.84465,             0.87452,             0.91243,             0.59379,            0.044841,            0.032962,            0.014875,           0.0090844,           0.0090844,           0.0090844
                  64,            0.051067,            0.052704,            0.021855,             0.90886,             0.80878,             0.91108,             0.65139,             0.04112,            0.033251,            0.016995,           0.0090557,           0.0090557,           0.0090557
                  65,            0.049195,            0.056416,            0.022805,              0.9246,             0.78156,             0.90645,             0.62967,            0.041693,            0.033364,            0.016283,           0.0090266,           0.0090266,           0.0090266
                  66,            0.053889,            0.056514,            0.022454,             0.84851,             0.90645,             0.92807,             0.59743,            0.040922,            0.033901,            0.015589,           0.0089972,           0.0089972,           0.0089972
                  67,            0.054118,            0.063704,            0.023036,             0.90939,             0.94687,             0.95173,             0.61077,            0.038149,            0.032918,            0.015497,           0.0089673,           0.0089673,           0.0089673
                  68,            0.050663,            0.060163,             0.02193,             0.95388,             0.91888,             0.95416,             0.68775,            0.037305,            0.032736,            0.014658,           0.0089371,           0.0089371,           0.0089371
                  69,            0.046263,            0.056435,            0.021098,              0.8886,             0.88943,             0.93241,             0.66129,            0.040738,            0.033733,            0.014513,           0.0089065,           0.0089065,           0.0089065
                  70,            0.050655,            0.058285,            0.021512,             0.90274,             0.87766,             0.92933,             0.59166,            0.042083,              0.0331,            0.014838,           0.0088755,           0.0088755,           0.0088755
                  71,            0.051782,            0.057527,            0.022222,             0.89416,             0.92044,              0.9486,             0.68196,             0.04342,            0.032977,            0.014205,           0.0088442,           0.0088442,           0.0088442
