               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.038906,            0.048358,             0.01424,             0.96186,              0.9111,             0.92608,             0.61544,            0.036806,            0.034323,             0.01128,           0.0051704,           0.0051704,           0.0051704
                 159,            0.039958,            0.053393,             0.01464,             0.94367,             0.91221,              0.9217,             0.59821,            0.039107,            0.034724,             0.01127,           0.0051234,           0.0051234,           0.0051234
                 160,            0.038351,            0.048692,            0.015687,             0.98438,             0.93671,             0.95705,             0.67884,            0.031571,             0.03275,            0.010769,           0.0050765,           0.0050765,           0.0050765
                 161,            0.036211,            0.045786,            0.014592,             0.98364,              0.9436,             0.95874,             0.68008,            0.032685,             0.03374,            0.010823,           0.0050296,           0.0050296,           0.0050296
                 162,            0.038638,            0.054638,             0.01474,             0.97977,             0.94388,             0.95806,             0.68083,            0.033495,            0.033252,            0.010873,           0.0049828,           0.0049828,           0.0049828
                 163,            0.037157,            0.045752,            0.013907,             0.96135,             0.90843,             0.94144,             0.66946,            0.034948,            0.033479,            0.011046,            0.004936,            0.004936,            0.004936
                 164,            0.037794,            0.050272,            0.015669,             0.96393,             0.91113,             0.94949,             0.70213,            0.032165,            0.032531,            0.011296,           0.0048893,           0.0048893,           0.0048893
                 165,            0.035583,            0.046694,             0.01458,             0.96969,             0.91418,             0.95403,             0.69765,            0.032647,            0.032909,            0.011122,           0.0048426,           0.0048426,           0.0048426
                 166,            0.038341,            0.050308,            0.015597,             0.95225,             0.93929,             0.96016,             0.66304,            0.034231,            0.033731,            0.010403,            0.004796,            0.004796,            0.004796
                 167,            0.038725,            0.054234,            0.015083,             0.95789,             0.93206,             0.94904,             0.63505,            0.037096,            0.033969,            0.010916,           0.0047495,           0.0047495,           0.0047495
                 168,            0.037459,            0.048735,            0.014878,             0.94666,             0.91165,             0.94127,             0.68168,            0.033916,            0.033205,            0.011731,           0.0047031,           0.0047031,           0.0047031
                 169,            0.037134,            0.053558,            0.015048,             0.94481,             0.87657,             0.92947,              0.6799,            0.032435,            0.032463,            0.012623,           0.0046568,           0.0046568,           0.0046568
                 170,            0.038793,            0.052853,             0.01569,             0.86108,             0.87879,             0.90176,             0.64593,            0.033369,            0.033388,            0.014592,           0.0046105,           0.0046105,           0.0046105
                 171,            0.037269,            0.046757,            0.014096,             0.90363,             0.86258,              0.8976,             0.61131,            0.036314,            0.034158,            0.013973,           0.0045644,           0.0045644,           0.0045644
                 172,            0.038236,            0.049563,            0.015141,              0.9213,             0.86665,             0.90406,             0.65492,             0.03239,            0.033883,            0.013029,           0.0045184,           0.0045184,           0.0045184
                 173,            0.036917,            0.047384,            0.015401,              0.9554,             0.87923,               0.924,             0.65372,            0.034574,            0.033552,             0.01265,           0.0044724,           0.0044724,           0.0044724
                 174,            0.036495,             0.04319,            0.014159,             0.92866,             0.90098,             0.91682,             0.66961,            0.032431,            0.033561,            0.012845,           0.0044266,           0.0044266,           0.0044266
                 175,            0.036119,            0.044731,            0.013428,             0.92949,             0.89592,             0.91554,             0.67376,            0.031755,            0.033599,            0.013143,           0.0043809,           0.0043809,           0.0043809
                 176,            0.036763,            0.050539,            0.015061,             0.90375,             0.89122,             0.89974,             0.65534,              0.0334,            0.033849,            0.013412,           0.0043353,           0.0043353,           0.0043353
                 177,            0.036416,            0.046268,            0.014467,             0.92495,             0.89919,             0.91381,             0.67224,             0.03158,            0.033417,            0.013144,           0.0042899,           0.0042899,           0.0042899
                 178,            0.036495,            0.047621,            0.014192,              0.9343,             0.91276,             0.92698,             0.68043,            0.031634,            0.033548,            0.012339,           0.0042445,           0.0042445,           0.0042445
                 179,            0.035817,            0.047747,            0.013937,             0.94107,             0.90803,             0.92808,             0.69626,            0.031203,            0.033141,             0.01205,           0.0041994,           0.0041994,           0.0041994
                 180,             0.03517,            0.046756,            0.013991,             0.93597,             0.91049,             0.91775,             0.68871,            0.031117,            0.033124,            0.011947,           0.0041543,           0.0041543,           0.0041543
                 181,            0.034659,            0.046298,            0.013279,             0.93149,             0.91616,             0.92185,             0.66258,            0.033371,            0.033782,            0.011791,           0.0041094,           0.0041094,           0.0041094
                 182,            0.035823,            0.045163,            0.014528,             0.90207,             0.89824,             0.90363,             0.63147,            0.034712,             0.03423,            0.012434,           0.0040647,           0.0040647,           0.0040647
                 183,            0.039081,            0.045942,            0.014513,             0.89363,             0.89883,             0.90237,              0.5891,            0.038565,            0.034872,            0.012951,           0.0040201,           0.0040201,           0.0040201
                 184,            0.037374,            0.043353,            0.014239,              0.8994,              0.9037,             0.91041,             0.66699,            0.030232,            0.032847,            0.013193,           0.0039757,           0.0039757,           0.0039757
                 185,            0.036304,            0.044588,            0.013666,             0.87741,             0.89497,             0.90355,             0.61418,            0.035569,            0.034638,            0.012934,           0.0039314,           0.0039314,           0.0039314
                 186,            0.040045,            0.045779,            0.013982,             0.89316,             0.87554,             0.90556,             0.61833,            0.034752,             0.03496,            0.012749,           0.0038873,           0.0038873,           0.0038873
                 187,            0.035831,            0.042767,            0.015101,             0.91324,             0.88611,             0.90693,             0.63836,            0.034626,            0.034865,            0.013077,           0.0038434,           0.0038434,           0.0038434
                 188,            0.035643,            0.043144,            0.013561,             0.92236,             0.89656,             0.91708,             0.66554,            0.031564,            0.033044,            0.012792,           0.0037997,           0.0037997,           0.0037997
                 189,             0.03544,            0.047765,             0.01418,             0.93564,             0.90437,             0.92527,             0.66508,             0.03226,            0.033876,            0.013236,           0.0037562,           0.0037562,           0.0037562
                 190,             0.03772,            0.049073,            0.014688,             0.93967,             0.90565,             0.92856,             0.67972,              0.0317,            0.033175,            0.012895,           0.0037128,           0.0037128,           0.0037128
                 191,            0.036268,            0.049668,            0.014649,             0.93886,             0.90172,             0.92397,             0.67615,            0.031611,            0.033473,            0.013057,           0.0036697,           0.0036697,           0.0036697
                 192,            0.035496,             0.04649,            0.013582,             0.92672,             0.89437,             0.91116,             0.65716,            0.031116,            0.032944,            0.012942,           0.0036267,           0.0036267,           0.0036267
                 193,            0.034853,            0.044417,            0.014355,             0.95273,             0.89784,             0.92098,             0.66414,            0.031155,            0.032762,            0.012999,            0.003584,            0.003584,            0.003584
                 194,            0.035844,            0.046587,            0.013601,             0.93523,             0.90751,             0.91801,             0.64991,             0.03275,            0.033236,            0.013127,           0.0035415,           0.0035415,           0.0035415
                 195,            0.035761,            0.044316,            0.014138,             0.92864,             0.89671,             0.90747,             0.64262,            0.032731,            0.033006,            0.013015,           0.0034991,           0.0034991,           0.0034991
                 196,            0.034681,            0.045459,            0.014137,             0.93857,             0.90689,             0.92174,             0.66338,             0.03193,            0.032742,            0.013122,            0.003457,            0.003457,            0.003457
                 197,            0.034627,            0.045735,            0.014771,             0.93249,             0.89433,             0.90962,             0.66251,            0.031057,            0.032496,            0.013042,           0.0034152,           0.0034152,           0.0034152
                 198,            0.036803,               0.046,            0.013955,             0.93454,              0.8987,             0.91405,             0.65847,            0.030836,            0.032708,            0.013273,           0.0033735,           0.0033735,           0.0033735
                 199,            0.036984,            0.046201,            0.013639,             0.93212,             0.89019,             0.91375,             0.65534,            0.030598,            0.032791,            0.013526,           0.0033321,           0.0033321,           0.0033321
                 200,            0.036502,            0.045696,            0.013515,              0.9091,             0.89856,             0.90096,             0.65373,            0.032152,            0.033435,            0.013421,           0.0032909,           0.0032909,           0.0032909
                 201,             0.03503,            0.046267,            0.013813,             0.93804,             0.90794,             0.91553,             0.67272,            0.031088,            0.032958,            0.013328,             0.00325,             0.00325,             0.00325
                 202,            0.034608,            0.044122,            0.013838,             0.93141,             0.90089,             0.91635,             0.66485,            0.031178,            0.033938,             0.01305,           0.0032093,           0.0032093,           0.0032093
                 203,            0.034463,              0.0468,            0.013894,              0.9385,             0.90749,             0.93364,             0.67463,            0.030275,            0.033568,            0.012742,           0.0031689,           0.0031689,           0.0031689
                 204,            0.035261,            0.045199,            0.014165,             0.92268,             0.91544,             0.92152,             0.67625,            0.030826,             0.03351,            0.012392,           0.0031287,           0.0031287,           0.0031287
                 205,            0.035413,            0.042536,            0.014014,              0.9202,             0.91465,             0.92032,             0.66803,            0.032298,            0.034039,            0.012339,           0.0030888,           0.0030888,           0.0030888
                 206,            0.036243,             0.04485,            0.013997,             0.94675,             0.89124,             0.93185,             0.66335,            0.033713,            0.034647,            0.012661,           0.0030491,           0.0030491,           0.0030491
                 207,            0.034582,            0.043084,            0.013656,             0.87424,             0.89313,             0.90278,               0.643,            0.033796,            0.034703,            0.013606,           0.0030097,           0.0030097,           0.0030097
                 208,            0.035516,            0.046477,            0.014422,             0.88691,             0.87569,             0.89958,             0.65429,            0.031853,            0.033851,             0.01413,           0.0029706,           0.0029706,           0.0029706
                 209,            0.033325,            0.044026,            0.012819,             0.89603,             0.88679,             0.90958,             0.66254,            0.030496,            0.033398,            0.014531,           0.0029318,           0.0029318,           0.0029318
                 210,            0.035829,             0.04423,            0.014023,             0.90899,             0.87633,             0.89792,             0.66331,            0.030582,             0.03376,            0.014118,           0.0028932,           0.0028932,           0.0028932
                 211,            0.035513,            0.044771,            0.013239,             0.91095,             0.88205,             0.90371,             0.67025,            0.030261,            0.033519,            0.013525,            0.002855,            0.002855,            0.002855
                 212,            0.034291,            0.045325,            0.013468,             0.90769,             0.89747,             0.91002,             0.67042,            0.030778,            0.033102,            0.012985,            0.002817,            0.002817,            0.002817
